书名,作者,分类,状态,发布时间,最近更新,章节,字数,点击,会员周点击总推荐,,周推荐
王者时刻,蝴蝶蓝,游戏,连载,2018/4/20 9:12,2019/3/8 23:39,(198章),48.31,2447.66,4.51,2063.99,36.76
,,,,,,,,,,,
医路坦途,臧福生,都市,连载,2018/11/5 23:24,2019/3/9 21:49,(304章),78.61,745.09,35.73,26.02,1.41
,,,,,,,,,,,
神话之我是传奇,渡红尘,科幻,连载,2018/10/19 10:41,2019/3/10 1:15,(433章),96.8,630.64,18.39,10.13,4958
,,,,,,,,,,,
恐怖修仙世界,龙蛇枝,仙侠,连载,2019/3/2 8:02,2019/3/9 23:15,(375章),79.08,489.1,68.65,12.78,6960
,,,,,,,,,,,
重生之财富美利坚,塞弗罗萨,都市,连载,2018/10/10 19:26,2019/3/9 20:53,(512章),131.8,518.31,11.57,5.21,1854
,,,,,,,,,,,
晚钟教会,狂猎,奇幻,连载,2018/9/21 16:31,2019/3/9 23:02,(562章),138.78,619.28,7.11,9.44,1094
,,,,,,,,,,,
黎明之剑,远瞳,科幻,连载,2018/4/10 8:05,2019/3/10 8:05,(467章),157.4,2823.81,49.23,313.83,5.98
,,,,,,,,,,,
灵气逼人,卧牛真人,科幻,连载,2018/9/14 9:38,2019/3/10 9:49,(455章),123.41,509.06,11.28,28.05,6958
,,,,,,,,,,,
一品修仙,不放心油条,仙侠,连载,2018/10/4 23:47,2019/3/9 23:33,(534章),227.66,1429.31,14.94,49.49,8865
,,,,,,,,,,,
蓝白社,魔性沧月,都市,连载,2018/6/5 18:24,2019/3/9 23:11,(565章),162.83,775.82,14.02,30.61,5969
,,,,,,,,,,,
进球万岁,猪头七,体育,连载,2018/6/19 16:10,2019/3/9 23:56,(526章),127.21,487.21,7.1,20.49,2107
,,,,,,,,,,,
我的时空旅舍,金色茉莉花,都市,连载,2018/3/14 1:31,2019/3/9 23:59,(621章),192.4,838.32,19.2,34.15,1.04
,,,,,,,,,,,
凡人修仙之仙界篇,忘语,仙侠,连载,2017/11/1 9:20,2019/3/9 19:12,(771章),235.59,6999.63,114.36,1599.07,22.65
,,,,,,,,,,,
造梦天师,李鸿天,玄幻,连载,2018/7/5 10:18,2019/3/9 22:37,(701章),270.78,1345.17,18.2,37.21,6664
,,,,,,,,,,,
道门法则,八宝饭,仙侠,连载,2015/2/15 21:57,2019/3/10 10:15,(971章),222.91,789.84,12.91,43.86,7600
,,,,,,,,,,,
别吃那个鬼,黑暗荔枝,科幻,连载,2018/11/1 11:25,2019/3/9 18:57,(177章),44.12,412.29,10.03,13.5,2766
,,,,,,,,,,,
全民武道,鱼儿小小,都市,连载,2018/9/9 8:54,2019/3/9 23:38,(391章),95.83,337.23,10.65,15.74,4089
,,,,,,,,,,,
